customer_id,signup_date,region,segment,monthly_spend,orders_last_90d,support_tickets,satisfaction_score
1,2024-04-12,North,Retail,332.89,6,2,2
2,2025-03-11,North,SMB,252.18,4,2,4
3,2024-09-27,North,SMB,,3,0,2
4,2024-04-16,East,Retail,301.81,3,1,3
5,2024-03-12,,Retail,139.14,4,1,1
6,2025-12-01,North,Retail,184.0,2,2,2
7,2024-01-21,West,Enterprise,233.97,6,4,5
8,2025-09-06,East,Retail,169.85,6,1,3
9,2024-05-01,North,SMB,167.05,2,1,5
10,2025-04-11,North,Enterprise,195.63,3,1,3
11,2024-08-02,West,SMB,190.43,5,2,2
12,2024-11-26,South,Enterprise,290.62,4,1,1
13,2025-04-03,East,Retail,237.8,5,2,5
14,2024-03-28,West,SMB,,1,1,3
15,2025-01-07,North,SMB,298.96,6,0,4
16,2024-04-09,North,SMB,192.22,2,1,2
17,2025-10-25,West,Retail,149.34,5,2,1
18,2024-05-10,,Retail,116.0,6,1,2
19,2025-10-23,South,Retail,215.5,1,1,4
20,2024-11-04,South,SMB,137.38,4,0,1
21,2024-12-09,North,Enterprise,183.09,5,1,4
22,2025-05-06,East,SMB,238.96,6,4,2
23,2025-02-17,South,Retail,143.65,4,1,3
24,2025-01-20,East,Enterprise,247.49,2,2,2
25,2024-07-10,East,Retail,357.49,8,3,2
26,2024-10-03,North,Retail,217.91,6,1,2
27,2024-06-09,South,Retail,166.03,3,1,5
28,2025-04-04,West,SMB,139.84,5,1,4
29,2024-11-09,North,Retail,168.2,4,0,4
30,2024-01-22,South,SMB,,1,2,4
31,2024-09-09,South,Enterprise,309.09,3,1,5
32,2025-07-14,South,Retail,166.98,4,0,3
33,2025-04-19,South,SMB,261.47,2,0,2
34,2024-02-28,South,Retail,251.47,4,2,3
35,2025-05-25,East,Retail,259.47,4,3,5
36,2025-11-12,North,Retail,284.44,5,3,4
37,2025-04-20,East,Retail,421.33,3,2,2
38,2025-11-30,West,SMB,129.76,2,2,1
39,2024-07-08,South,Retail,303.11,4,1,1
40,2025-11-17,North,SMB,149.9,4,0,3
41,2025-07-16,South,SMB,177.07,2,2,4
42,2025-07-20,North,SMB,99.57,6,0,1
43,2024-08-31,East,SMB,194.46,5,1,3
44,2025-05-19,North,SMB,306.62,4,0,5
